scope,stage_name,status,path,model_name,branch,generation
context,judge,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_1\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,1.0
context,synthetic_build,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_1\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,1.0
context,anchoring,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_1\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,1.0
context,generation,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_2\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,2.0
context,answer_extraction,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_2\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,2.0
context,accuracy,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_2\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,2.0
context,judge,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_2\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,2.0
context,synthetic_build,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_2\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,2.0
context,anchoring,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pair_lite_medium\gen_2\stage_manifest.json,qwen2.5_0.5b,pair_lite_medium,2.0
context,generation,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_0\stage_manifest.json,qwen2.5_0.5b,pure_recycling,0.0
context,answer_extraction,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_0\stage_manifest.json,qwen2.5_0.5b,pure_recycling,0.0
context,accuracy,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_0\stage_manifest.json,qwen2.5_0.5b,pure_recycling,0.0
context,judge,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_0\stage_manifest.json,qwen2.5_0.5b,pure_recycling,0.0
context,synthetic_build,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_0\stage_manifest.json,qwen2.5_0.5b,pure_recycling,0.0
context,anchoring,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_0\stage_manifest.json,qwen2.5_0.5b,pure_recycling,0.0
context,generation,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_1\stage_manifest.json,qwen2.5_0.5b,pure_recycling,1.0
context,answer_extraction,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_1\stage_manifest.json,qwen2.5_0.5b,pure_recycling,1.0
context,accuracy,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_1\stage_manifest.json,qwen2.5_0.5b,pure_recycling,1.0
context,judge,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_1\stage_manifest.json,qwen2.5_0.5b,pure_recycling,1.0
context,synthetic_build,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_1\stage_manifest.json,qwen2.5_0.5b,pure_recycling,1.0
context,anchoring,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_1\stage_manifest.json,qwen2.5_0.5b,pure_recycling,1.0
context,generation,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_2\stage_manifest.json,qwen2.5_0.5b,pure_recycling,2.0
context,answer_extraction,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_2\stage_manifest.json,qwen2.5_0.5b,pure_recycling,2.0
context,accuracy,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_2\stage_manifest.json,qwen2.5_0.5b,pure_recycling,2.0
context,judge,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_2\stage_manifest.json,qwen2.5_0.5b,pure_recycling,2.0
context,synthetic_build,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_2\stage_manifest.json,qwen2.5_0.5b,pure_recycling,2.0
context,anchoring,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\pure_recycling\gen_2\stage_manifest.json,qwen2.5_0.5b,pure_recycling,2.0
context,generation,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\soft_pvf_noisy_keep\gen_0\stage_manifest.json,qwen2.5_0.5b,soft_pvf_noisy_keep,0.0
context,answer_extraction,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\soft_pvf_noisy_keep\gen_0\stage_manifest.json,qwen2.5_0.5b,soft_pvf_noisy_keep,0.0
context,accuracy,completed,C:\Users\kiris\Documents\New project\outputs\runs\pair_lite_shakedown_20260428_213313\qwen2.5_0.5b\soft_pvf_noisy_keep\gen_0\stage_manifest.json,qwen2.5_0.5b,soft_pvf_noisy_keep,0.0
